Distance [mm],Bz [],Bz_1 [],Bz_2 []
9.29305,-0.180237301,-0.1535845,-0.096923185
9.3119,-0.180456963,-0.153560996,-0.096974478
9.33075,-0.180653609,-0.153528879,-0.096413086
9.3496,-0.18082723,-0.15363566,-0.096435711
9.36845,-0.18097782,-0.153714135,-0.096455106
9.3873,-0.181105372,-0.153782735,-0.09647127
9.40615,-0.181209882,-0.153841457,-0.096484201
9.425,-0.181291345,-0.153890299,-0.096493899
9.44385,-0.181349759,-0.15412418,-0.096500364
9.4627,-0.18138512,-0.154175421,-0.096503596
9.48155,-0.181397428,-0.154217064,-0.096503594
9.5004,-0.181386682,-0.154249108,-0.096500358
9.51925,-0.181589685,-0.15427155,-0.09649389
9.5381,-0.181470171,-0.154284391,-0.096484187
9.55695,-0.181327982,-0.15428763,-0.096471253
9.5758,-0.181163123,-0.154281266,-0.096455086
9.59465,-0.180975602,-0.1542653,-0.096435687
9.6135,-0.180765425,-0.154239733,-0.096413057
9.63235,-0.180532602,-0.154204565,-0.09508206
9.6512,-0.18027714,-0.154159798,-0.095040932
9.67005,-0.179927022,-0.154105433,-0.094996602
9.6889,-0.179878348,-0.154041474,-0.094949072
9.70775,-0.179807612,-0.153975433,-0.094898344
9.7266,-0.179714818,-0.153841954,-0.094844421
9.74545,-0.179599969,-0.153699286,-0.094787304
9.7643,-0.17946307,-0.153547435,-0.094726995
9.78315,-0.179304125,-0.153386408,-0.094663497
9.802,-0.179123142,-0.154609664,-0.094596813
9.82085,-0.178920127,-0.154415662,-0.097009506
9.8397,-0.178695089,-0.154213017,-0.096888817
9.85855,-0.178448036,-0.154001738,-0.096766151
9.8774,-0.178178978,-0.153781831,-0.096641512
9.89625,-0.177887926,-0.153553307,-0.096514905
9.9151,-0.177574891,-0.153316175,-0.096386336
9.93395,-0.176375695,-0.153070442,-0.096255809
9.9528,-0.17619486,-0.152045756,-0.096123329
9.97165,-0.176041503,-0.151889546,-0.095988902
9.9905,-0.175885468,-0.151724228,-0.095852533
10.00935,-0.175704168,-0.15100146,-0.095714228
10.0282,-0.17549761,-0.150876373,-0.095573991
10.04705,-0.175265804,-0.150742175,-0.095431829
10.0659,-0.175008758,-0.150598871,-0.095287747
10.08475,-0.174726481,-0.150446467,-0.09514175
10.1036,-0.174418986,-0.15028497,-0.094993845
10.12245,-0.174086284,-0.150114384,-0.094844037
10.1413,-0.173728389,-0.149934718,-0.094692333
10.16015,-0.173345315,-0.149745978,-0.094538737
10.179,-0.172937076,-0.149548172,-0.094383257
10.19785,-0.172503689,-0.149341307,-0.094225899
10.2167,-0.172045171,-0.149125392,-0.094066667
10.23555,-0.17156154,-0.148900435,-0.09390557
10.2544,-0.171052815,-0.148666446,-0.093742613
10.27325,-0.170519017,-0.148423432,-0.093577803
10.2921,-0.169960166,-0.148171405,-0.093411146
10.31095,-0.167360226,-0.147910373,-0.093242649
10.3298,-0.166991023,-0.147640347,-0.093072318
10.34865,-0.166720914,-0.147361339,-0.09290016
10.3675,-0.172382844,-0.147073358,-0.091032417
10.38635,-0.17213731,-0.146776416,-0.090868226
10.4052,-0.171870297,-0.146454048,-0.090701701
10.42405,-0.171581816,-0.146135018,-0.090532846
10.4429,-0.171271877,-0.145807065,-0.090361669
10.46175,-0.170940494,-0.145470201,-0.090188176
10.4806,-0.170587678,-0.145124441,-0.090012375
10.49945,-0.170213445,-0.145329325,-0.089834273
10.5183,-0.169817809,-0.14500145,-0.089653875
10.53715,-0.169400785,-0.144665502,-0.089471191
10.556,-0.16896239,-0.144321494,-0.089286225
10.57485,-0.168502642,-0.14396944,-0.089098987
10.5937,-0.168021557,-0.143609354,-0.088909484
10.61255,-0.167519157,-0.143170744,-0.088717722
