Distance [mm],Br [],Br_1 [],Br_2 []
6.16395,-0.10670761,-0.044299553,-0.022785995
6.1828,-0.107999963,-0.044427815,-0.023017427
6.20165,-0.109286263,-0.044912894,-0.023248
6.2205,-0.110566492,-0.045531736,-0.023477799
6.23935,-0.11184063,-0.046096101,-0.023706914
6.2582,-0.11310866,-0.046659166,-0.023935431
6.27705,-0.114370567,-0.047221013,-0.024163437
6.2959,-0.115626338,-0.047781724,-0.024391019
6.31475,-0.11687596,-0.048341383,-0.024618262
6.3336,-0.11801104,-0.04890007,-0.024845252
6.35245,-0.119231116,-0.049457868,-0.025072075
6.3713,-0.120444663,-0.050014858,-0.025298815
6.39015,-0.121651678,-0.050571123,-0.025525556
6.409,-0.122852161,-0.051126741,-0.025752382
6.42785,-0.124046115,-0.051681796,-0.025979377
6.4467,-0.125233545,-0.052236366,-0.026206623
6.46555,-0.126414456,-0.052790531,-0.026434203
6.4844,-0.127588857,-0.053344373,-0.026662198
6.50325,-0.128756758,-0.053897969,-0.02689069
6.5221,-0.129918171,-0.054451398,-0.027119759
6.54095,-0.131073111,-0.05500474,-0.027349485
6.5598,-0.132221594,-0.055558072,-0.027579948
6.57865,-0.133363638,-0.056111472,-0.027811226
6.5975,-0.13449251,-0.056665017,-0.028043397
6.61635,-0.135695326,-0.057218784,-0.028276539
6.6352,-0.136891017,-0.057772849,-0.02851073
6.65405,-0.138079564,-0.058327287,-0.028746044
6.6729,-0.139260955,-0.058772018,-0.028982558
6.69175,-0.140435176,-0.05931065,-0.029220346
6.7106,-0.141602218,-0.058735993,-0.029459483
6.72945,-0.142762073,-0.059026694,-0.029700042
6.7483,-0.143914735,-0.059317117,-0.029987923
6.76715,-0.145060203,-0.059607379,-0.030233538
6.786,-0.146198475,-0.059897598,-0.030478214
6.80485,-0.147329554,-0.060187887,-0.030722019
6.8237,-0.148453443,-0.060478362,-0.030965022
6.84255,-0.149570148,-0.060769136,-0.03120729
6.8614,-0.150679679,-0.061060321,-0.031448889
6.88025,-0.151782046,-0.06135203,-0.031689887
6.8991,-0.152877262,-0.061751601,-0.031930348
6.91795,-0.153965343,-0.062188627,-0.032170337
6.9368,-0.155046305,-0.06262658,-0.032409919
6.95565,-0.156120169,-0.06306553,-0.032649157
6.9745,-0.157186957,-0.063505544,-0.032888113
6.99335,-0.158246692,-0.063946688,-0.03312685
7.0122,-0.159102591,-0.064389027,-0.033365429
7.03105,-0.160128599,-0.064832627,-0.03360391
7.0499,-0.160681176,-0.065277552,-0.033842354
7.06875,-0.161738088,-0.065723863,-0.034080818
7.0876,-0.162786933,-0.066171624,-0.034319362
7.10645,-0.163827685,-0.066620895,-0.034558043
7.1253,-0.164860319,-0.067071736,-0.034796916
7.14415,-0.165884811,-0.067524206,-0.035036039
7.163,-0.166901143,-0.067978363,-0.035275467
7.18185,-0.167909299,-0.068434264,-0.035515253
7.2007,-0.168909263,-0.069305789,-0.035791982
7.21955,-0.169901024,-0.069628912,-0.036008916
7.2384,-0.170884574,-0.069952134,-0.036226246
7.25725,-0.171859906,-0.070275547,-0.036444034
7.2761,-0.172827017,-0.07059924,-0.036662343
7.29495,-0.173785905,-0.070923302,-0.036881235
7.3138,-0.174736573,-0.071247821,-0.037100772
7.33265,-0.175679025,-0.071572885,-0.037321012
7.3515,-0.176613267,-0.071898578,-0.037555454
7.37035,-0.177539309,-0.072224986,-0.037772399
7.3892,-0.178457163,-0.072552191,-0.037987929
7.40805,-0.179366844,-0.071500877,-0.038202106
7.4269,-0.180190463,-0.071829327,-0.03841499
7.44575,-0.18109417,-0.072159406,-0.038626641
7.4646,-0.181987504,-0.072491192,-0.038837119
7.48345,-0.182870457,-0.07282476,-0.038373882
7.5023,-0.183743022,-0.073792047,-0.038528755
7.52115,-0.184605199,-0.074026298,-0.038684107
7.54,-0.185456987,-0.074260493,-0.038839994
7.55885,-0.18629839,-0.074494735,-0.038996469
7.5777,-0.187129416,-0.074729124,-0.039153585
7.59655,-0.188344824,-0.076278063,-0.039311395
7.6154,-0.189134861,-0.076672094,-0.039469949
7.63425,-0.189916375,-0.077027303,-0.039629299
7.6531,-0.190689368,-0.077382399,-0.039789492
7.67195,-0.191453849,-0.077737429,-0.039950578
7.6908,-0.192209824,-0.078092438,-0.040112605
7.70965,-0.192957307,-0.078447474,-0.040275618
7.7285,-0.193696309,-0.078802581,-0.040439662
7.74735,-0.194426849,-0.079157803,-0.040628077
7.7662,-0.195193564,-0.079513185,-0.04080325
7.78505,-0.195919687,-0.079443073,-0.04097813
7.8039,-0.196636758,-0.079751392,-0.041152759
7.82275,-0.197344771,-0.080060048,-0.041327182
7.8416,-0.198043722,-0.080369086,-0.041501439
7.86045,-0.19873361,-0.080678551,-0.041675572
7.8793,-0.199414438,-0.081891723,-0.041849621
7.89815,-0.20008621,-0.081958141,-0.042023626
7.917,-0.200748935,-0.082023074,-0.042197623
7.93585,-0.201402622,-0.082206581,-0.042371651
7.9547,-0.202047286,-0.082433861,-0.042545745
7.97355,-0.202682943,-0.082660992,-0.042719942
7.9924,-0.203309613,-0.082888031,-0.042894273
8.01125,-0.203927317,-0.083115033,-0.043068774
8.0301,-0.204536082,-0.083342051,-0.043090567
8.04895,-0.205135934,-0.083569139,-0.043209209
8.0678,-0.205726905,-0.083796347,-0.043327824
8.08665,-0.206279148,-0.083893639,-0.043446456
8.1055,-0.206893077,-0.084099393,-0.043565148
8.12435,-0.207496776,-0.084306362,-0.043683942
8.1432,-0.208090275,-0.084514598,-0.04380288
8.16205,-0.208710593,-0.084724153,-0.043922003
8.1809,-0.210461398,-0.084935076,-0.044041348
8.19975,-0.211011941,-0.085147414,-0.044178942
8.2186,-0.211551917,-0.085361213,-0.044320917
8.23745,-0.212081312,-0.08557652,-0.044461884
8.2563,-0.212600115,-0.085793377,-0.04460188
8.27515,-0.213108317,-0.086011826,-0.044740941
8.294,-0.213605912,-0.086231907,-0.044879105
8.31285,-0.2140929,-0.085427551,-0.045016404
8.3317,-0.21456928,-0.085663026,-0.045152874
8.35055,-0.215035057,-0.085901099,-0.045288546
8.3694,-0.215490239,-0.0861418,-0.045423453
8.38825,-0.215934835,-0.086385156,-0.045557626
8.4071,-0.216368859,-0.086631191,-0.045691094
8.42595,-0.216792328,-0.08687993,-0.045823886
8.4448,-0.217205262,-0.086993097,-0.04595603
8.46365,-0.217607683,-0.087151231,-0.046087553
8.4825,-0.217999617,-0.087311658,-0.046218482
8.50135,-0.218381093,-0.087474416,-0.046348839
8.5202,-0.218752144,-0.087639545,-0.046524604
