Distance [mm],B_phi [],B_phi_1 [],B_phi_2 []
8.84065,0.034670341,0.023268353,0.015183045
8.8595,0.03357513,0.02255069,0.014561789
8.87835,0.031970896,0.021833622,0.014024659
8.8972,0.030866074,0.021116973,0.013487895
8.91605,0.02975979,0.020400571,0.012951416
8.9349,0.028651997,0.019684241,0.01279101
8.95375,0.02754265,0.01896781,0.012280084
8.9726,0.026431703,0.018251104,0.01177042
8.99145,0.025319108,0.017533949,0.011261937
9.0103,0.024204821,0.016816173,0.010754551
9.02915,0.023088794,0.016097601,0.010248182
9.048,0.021970981,0.01537806,0.009742749
9.06685,0.020851338,0.014657377,0.00923817
9.0857,0.019729819,0.013935378,0.008734365
9.10455,0.018606378,0.012459531,0.008231254
9.1234,0.017480972,0.011664867,0.007728756
9.14225,0.016353556,0.010870857,0.007226792
9.1611,0.015224086,0.010077332,0.006725281
9.17995,0.01418751,0.009284124,0.006224145
9.1988,0.012999538,0.008491065,0.005723303
9.21765,0.01306847,0.007697987,0.005222678
9.2365,0.011925607,0.006904722,0.004722189
9.25535,0.010782037,0.006111103,0.004221758
9.2742,0.009637717,0.005316963,0.003721306
9.29305,0.008492602,0.004522135,0.003220755
9.3119,0.007346646,0.003726451,0.002720026
9.33075,0.006199804,0.002929744,0.002191564
9.3496,0.005052031,0.002169306,0.001700098
9.36845,0.003903281,0.001366454,0.001208704
9.3873,0.002753509,0.000561571,0.000717313
9.40615,0.001602671,-0.0002455,0.000225857
9.425,0.000450721,-0.001054915,-0.000265736
9.44385,-0.000702386,-0.001140332,-0.000757535
9.4627,-0.001856694,-0.001822318,-0.001249609
9.48155,-0.003012246,-0.002502413,-0.00174203
9.5004,-0.004169086,-0.003180766,-0.002234867
9.51925,-0.007045413,-0.00385753,-0.002728192
9.5381,-0.008051391,-0.004532855,-0.003222075
9.55695,-0.009058274,-0.005206892,-0.003716588
9.5758,-0.0100661,-0.005879792,-0.004211803
9.59465,-0.01107491,-0.006551705,-0.004707792
9.6135,-0.012084743,-0.007222784,-0.005204627
9.63235,-0.013095639,-0.007893179,-0.005391496
9.6512,-0.014107639,-0.008563041,-0.005854727
9.67005,-0.013815361,-0.009232521,-0.006317143
9.6889,-0.014938164,-0.009901772,-0.006778817
9.70775,-0.016058976,-0.01009606,-0.007239823
9.7266,-0.01717783,-0.010866472,-0.00770023
9.74545,-0.01829476,-0.01163448,-0.008160113
9.7643,-0.019409799,-0.012400238,-0.008619541
9.78315,-0.020522982,-0.013163899,-0.009078587
9.802,-0.021634343,-0.015366309,-0.009537322
9.82085,-0.022743916,-0.016171571,-0.009879834
9.8397,-0.023851737,-0.016976375,-0.010383881
9.85855,-0.02495784,-0.017780872,-0.010886877
9.8774,-0.02606226,-0.018585217,-0.011388896
9.89625,-0.027165032,-0.019389559,-0.011890013
9.9151,-0.02826619,-0.020194054,-0.012390301
9.93395,-0.03060357,-0.020998852,-0.012889835
9.9528,-0.031640631,-0.022794528,-0.01338869
9.97165,-0.032923695,-0.023507455,-0.01388694
